                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.47817,                0.65417,                 1.0357,                0.75466,                0.69238,                0.75939,                0.59848,                 1.0205,                 1.0402,                 1.4552,              6.832e-05,              6.832e-05,              6.832e-05
                     34,                0.49581,                 0.6842,                 1.0412,                0.68333,                0.64764,                0.71599,                0.55356,                 1.0433,                 1.2984,                 1.4735,              6.733e-05,              6.733e-05,              6.733e-05
                     35,                0.47767,                0.62822,                 1.0348,                0.71887,                0.76036,                0.75875,                0.58828,                 1.0169,                 1.0591,                 1.4487,              6.634e-05,              6.634e-05,              6.634e-05
                     36,                0.45698,                0.60366,                 1.0189,                0.69706,                0.74399,                0.76946,                0.59638,                 1.0057,                 1.0879,                 1.4578,              6.535e-05,              6.535e-05,              6.535e-05
                     37,                0.45676,                0.60942,                 1.0173,                0.67251,                 0.7474,                 0.7584,                0.57948,                 1.0392,                 1.1112,                 1.4541,              6.436e-05,              6.436e-05,              6.436e-05
                     38,                0.45675,                0.59098,                 1.0253,                0.68789,                0.73576,                0.75912,                0.59627,                   1.03,                 1.0673,                 1.4571,              6.337e-05,              6.337e-05,              6.337e-05
                     39,                0.44663,                0.60134,                 1.0168,                0.77214,                0.71427,                0.76549,                0.59286,                 1.0603,                 1.0524,                  1.497,              6.238e-05,              6.238e-05,              6.238e-05
                     40,                 0.4524,                0.57757,                 1.0215,                0.75703,                0.70397,                0.77206,                0.60411,                 0.9922,                  1.026,                 1.4496,              6.139e-05,              6.139e-05,              6.139e-05
                     41,                0.44621,                0.57916,                 1.0078,                0.75308,                 0.7297,                0.78693,                0.62272,                 0.9393,                 1.0223,                 1.3942,               6.04e-05,               6.04e-05,               6.04e-05
                     42,                0.45181,                0.56374,                  1.017,                0.76325,                0.74515,                0.79031,                0.62043,                0.98996,                  1.006,                 1.4691,              5.941e-05,              5.941e-05,              5.941e-05
                     43,                0.42886,                0.54968,                 1.0069,                0.72303,                0.70271,                0.74623,                0.58815,                 1.0214,                 1.0653,                 1.5104,              5.842e-05,              5.842e-05,              5.842e-05
                     44,                0.42824,                0.53289,                0.99692,                0.78629,                0.71915,                0.78779,                0.61355,                 1.0267,                 1.0424,                 1.4869,              5.743e-05,              5.743e-05,              5.743e-05
                     45,                0.42558,                0.52517,                 0.9952,                0.79825,                 0.6662,                0.75706,                0.59476,                 1.0003,                 1.1154,                  1.473,              5.644e-05,              5.644e-05,              5.644e-05
                     46,                0.43033,                0.53659,                 1.0063,                0.79349,                0.69016,                0.77113,                0.60964,                 1.0274,                 1.0821,                 1.4694,              5.545e-05,              5.545e-05,              5.545e-05
                     47,                0.41634,                0.51509,                0.99192,                0.80855,                0.68638,                0.77785,                0.60131,                 1.0378,                 1.0152,                 1.5094,              5.446e-05,              5.446e-05,              5.446e-05
                     48,                0.40824,                0.50249,                0.99199,                 0.7453,                0.70236,                0.76878,                 0.5978,                 1.0048,                 1.0711,                 1.4649,              5.347e-05,              5.347e-05,              5.347e-05
                     49,                 0.4218,                0.51461,                0.99845,                0.69334,                0.69716,                0.73834,                0.55818,                 1.0473,                 1.2364,                 1.5133,              5.248e-05,              5.248e-05,              5.248e-05
                     50,                0.40421,                0.49509,                0.98941,                0.81509,                0.64863,                0.75863,                0.59864,                0.99227,                 1.0846,                 1.4621,              5.149e-05,              5.149e-05,              5.149e-05
                     51,                0.40595,                0.48835,                0.99499,                0.76289,                0.67092,                0.74807,                0.58557,                 1.0561,                 1.0861,                 1.5515,               5.05e-05,               5.05e-05,               5.05e-05
                     52,                0.40716,                0.48405,                0.99295,                 0.7911,                0.69699,                0.74676,                0.56293,                 1.0749,                  1.077,                 1.5537,              4.951e-05,              4.951e-05,              4.951e-05
                     53,                 0.3968,                0.47719,                0.97855,                0.80907,                0.68426,                0.77877,                0.59904,                 1.0385,                  1.135,                 1.5065,              4.852e-05,              4.852e-05,              4.852e-05
                     54,                0.37942,                0.46775,                0.97367,                0.73988,                0.72096,                0.75951,                0.59585,                 1.0289,                  1.086,                 1.4902,              4.753e-05,              4.753e-05,              4.753e-05
                     55,                0.38682,                0.46491,                0.97052,                0.74782,                0.71075,                0.76382,                0.60055,                 1.0053,                 1.0607,                 1.4772,              4.654e-05,              4.654e-05,              4.654e-05
                     56,                0.38107,                0.45779,                0.96475,                0.68472,                0.76904,                0.72918,                0.56861,                 1.0339,                 1.1955,                 1.4861,              4.555e-05,              4.555e-05,              4.555e-05
                     57,                0.36762,                0.43271,                0.95902,                0.77941,                0.74174,                0.77655,                0.60913,                 1.0083,                    1.1,                 1.4575,              4.456e-05,              4.456e-05,              4.456e-05
                     58,                0.37759,                 0.4328,                0.95732,                0.76966,                   0.69,                0.76827,                0.58445,                 1.0581,                  1.136,                  1.519,              4.357e-05,              4.357e-05,              4.357e-05
                     59,                0.37167,                0.42844,                0.96003,                 0.7808,                 0.6957,                0.78273,                0.61076,                 1.0058,                 1.0684,                  1.465,              4.258e-05,              4.258e-05,              4.258e-05
                     60,                0.36921,                0.43676,                0.95815,                0.84773,                0.66006,                0.78196,                0.61445,                 1.0302,                 1.0136,                 1.4923,              4.159e-05,              4.159e-05,              4.159e-05
                     61,                 0.3592,                0.41059,                0.95892,                0.75118,                0.67397,                0.75693,                0.59498,                 1.0137,                 1.1672,                 1.4643,               4.06e-05,               4.06e-05,               4.06e-05
                     62,                0.35882,                0.40768,                0.95084,                0.81014,                0.66135,                0.76864,                0.58458,                0.99725,                 1.1269,                 1.4711,              3.961e-05,              3.961e-05,              3.961e-05
                     63,                0.35756,                0.39744,                0.94894,                0.81882,                0.70334,                0.77276,                0.60672,                0.99629,                 1.0826,                 1.4493,              3.862e-05,              3.862e-05,              3.862e-05
                     64,                0.35708,                0.38923,                0.94538,                 0.7784,                0.69479,                0.76429,                0.60407,                 1.0252,                 1.0818,                 1.4681,              3.763e-05,              3.763e-05,              3.763e-05
                     65,                0.34684,                0.38842,                0.94441,                0.85782,                0.67012,                0.77718,                0.61599,                 0.9999,                 1.0853,                 1.4886,              3.664e-05,              3.664e-05,              3.664e-05
                     66,                0.33985,                0.37735,                0.93915,                0.81328,                0.65707,                0.76426,                0.60662,                 1.0115,                 1.0905,                 1.5049,              3.565e-05,              3.565e-05,              3.565e-05
                     67,                0.36076,                0.39287,                0.94644,                0.74485,                0.74155,                  0.756,                0.59066,                 1.0115,                 1.0658,                 1.4805,              3.466e-05,              3.466e-05,              3.466e-05
                     68,                0.34029,                0.36638,                0.93529,                0.81424,                0.68606,                0.76314,                0.60247,                 1.0238,                 1.0547,                 1.5103,              3.367e-05,              3.367e-05,              3.367e-05
                     69,                0.33929,                0.38237,                0.93995,                0.80909,                0.67611,                0.76658,                 0.6073,                 1.0079,                 1.0748,                 1.5153,              3.268e-05,              3.268e-05,              3.268e-05
                     70,                 0.3239,                0.35641,                0.93012,                0.86614,                 0.6731,                0.78057,                0.62302,                0.98526,                 1.0358,                 1.4504,              3.169e-05,              3.169e-05,              3.169e-05
                     71,                0.33455,                 0.3615,                0.93567,                0.73981,                0.71342,                0.75137,                0.58884,                 1.0047,                 1.1207,                 1.4825,               3.07e-05,               3.07e-05,               3.07e-05
                     72,                0.33731,                0.36167,                0.93427,                0.79055,                0.70832,                 0.7583,                0.60499,                 1.0034,                 1.1312,                 1.4945,              2.971e-05,              2.971e-05,              2.971e-05
                     73,                0.32532,                0.34755,                0.93547,                0.82566,                0.67194,                0.77283,                0.62239,                0.99947,                 1.1347,                 1.4706,              2.872e-05,              2.872e-05,              2.872e-05
                     74,                 0.3229,                0.33645,                0.92801,                0.80347,                0.66607,                0.76625,                0.61665,                0.97841,                 1.1905,                 1.4513,              2.773e-05,              2.773e-05,              2.773e-05
                     75,                0.31926,                0.34419,                 0.9268,                0.76701,                0.70348,                0.78155,                0.62995,                0.97989,                 1.1647,                 1.4335,              2.674e-05,              2.674e-05,              2.674e-05
                     76,                0.32245,                0.33407,                0.92579,                0.75916,                 0.7157,                0.77715,                0.62959,                0.97378,                 1.1375,                 1.4182,              2.575e-05,              2.575e-05,              2.575e-05
                     77,                0.31694,                0.32852,                 0.9217,                0.82373,                0.67977,                0.76449,                0.61447,                 0.9897,                 1.1883,                 1.4341,              2.476e-05,              2.476e-05,              2.476e-05
                     78,                0.30082,                0.32353,                0.92057,                0.80836,                0.67509,                0.76868,                0.61844,                0.99269,                  1.122,                 1.4719,              2.377e-05,              2.377e-05,              2.377e-05
                     79,                0.30749,                 0.3252,                0.91925,                0.81116,                0.71013,                0.77869,                0.61778,                0.98986,                 1.0492,                 1.4671,              2.278e-05,              2.278e-05,              2.278e-05
                     80,                0.31034,                0.31942,                0.91788,                0.87104,                0.65412,                0.77797,                0.61541,                0.99543,                 1.1111,                 1.4584,              2.179e-05,              2.179e-05,              2.179e-05
                     81,                0.30028,                0.30839,                 0.9166,                0.78766,                0.70233,                0.76352,                0.61664,                0.97091,                 1.1173,                   1.45,               2.08e-05,               2.08e-05,               2.08e-05
                     82,                0.30418,                0.31082,                0.91801,                0.81071,                0.67957,                0.75159,                0.60889,                 1.0091,                 1.1642,                 1.4764,              1.981e-05,              1.981e-05,              1.981e-05
                     83,                0.30419,                 0.3179,                 0.9189,                0.79327,                0.67404,                0.75383,                0.60266,                 1.0248,                 1.1282,                 1.5152,              1.882e-05,              1.882e-05,              1.882e-05
